English,Thai
you,คุณ
I or I .,ฉันหรือฉัน
to,ถึง
the,ที่
a or A .,a หรือ a.
and,และ
that,ที่
it,มัน
of,ของ
me,ฉัน
what,อะไร
is,เป็น
in,ใน
this,นี้
know,ทราบ
I'm,ฉัน
for,สำหรับ
no,เลขที่
have,มี
my,ของฉัน
don't,อย่า
just,แค่
not,ไม่
do,ทำ
be,เป็น
on,บน
your,ของคุณ
was,เคยเป็น
we,เรา
it's,ของมัน
with,กับ
so,ดังนั้น
but,แต่
all,ทั้งหมด
well,ดี
are,เป็น
he,เขา
oh,โอ้
about,เกี่ยวกับ
right,ขวา
you're,คุณ
get,รับ
here,ที่นี่
out,ออก
going,กำลังไป
like,ชอบ
yeah,ใช่
if,ถ้า
her,ของเธอ
she,เธอ
can,สามารถ
up,ขึ้น
want,ต้องการ
think,คิด
that's,นั่นคือ
now,ตอนนี้
go,ไป
him,เขา
at,ที่
how,ยังไง
got,ได้รับ
there,ที่นั่น
one,หนึ่ง
did,ทำ
why,ทำไม
see,ดู
come,มา
good,ดี
they,พวกเขา
really,จริงหรือ
as,เช่น
would,จะ
look,ดู
when,เมื่อไร
time,เวลา
will,จะ
okay,ตกลง
back,กลับ
can't,ไม่สามารถ
mean,หมายถึง
tell,บอก
I'll,ป่วย
from,จาก
hey,เฮ้
were,คือ
he's,เขา
could,สามารถ
didn't,ไม่ได้
yes,ใช่
his,ของเขา
been,เคย
or,หรือ
something,บางสิ่งบางอย่าง
who,WHO
because,เพราะ
some,บาง
had,มี
then,แล้ว
say,พูด
ok,ตกลง
take,เอา
an,หนึ่ง
way,ทาง
us,เรา
little,เล็กน้อย
make,ทำ
need,ความต้องการ
gonna,จะ
never,ไม่เคย
we're,คือ
too,ด้วย
love,รัก
she's,เธอ
I've,ฉัน
sure,แน่นอน
them,พวกเขา
more,มากกว่า
over,เกิน
our,ของเรา
sorry,ขอโทษ
where,ที่ไหน
what's,อะไร
let,อนุญาต
thing,สิ่ง
am,เช้า
maybe,อาจจะ
down,ลง
man,ผู้ชาย
has,มี
uh,เอ่อ
very,มาก
by,โดย
there's,มี
should,ควร
anything,อะไรก็ตาม
said,พูดว่า
much,มาก
any,ใดๆ
life,ชีวิต
even,สม่ำเสมอ
off,ปิด
please,โปรด
doing,ทำ
thank,ขอบคุณ
give,ให้
only,เท่านั้น
thought,คิด
help,ช่วย
two,สอง
talk,พูดคุย
people,ประชากร
god,พระเจ้า
still,นิ่ง
wait,รอ
into,เข้าไปข้างใน
find,หา
nothing,ไม่มีอะไร
again,อีกครั้ง
things,สิ่งของ
let's,มา
doesn't,ไม่
call,เรียก
told,บอก
great,ยอดเยี่ยม
before,ก่อน
better,ดีกว่า
ever,เคย
night,กลางคืน
than,กว่า
away,ห่างออกไป
first,อันดับแรก
believe,เชื่อ
other,อื่น
feel,รู้สึก
everything,ทุกอย่าง
work,งาน
you've,คุณ
fine,ดี
home,บ้าน
after,หลังจาก
last,ล่าสุด
these,เหล่านี้
day,วัน
keep,เก็บ
does,ทำ
put,ใส่
around,รอบๆ
stop,หยุด
they're,พวกเขา
I'd,ฉัน
guy,ผู้ชาย
long,ยาว
isn't,ไม่ใช่
always,เสมอ
listen,ฟัง
wanted,เป็นที่ต้องการ
Mr .,นาย .
guys,พวก
huh,ฮะ
those,เหล่านั้น
big,ใหญ่
lot,มาก
happened,เกิดขึ้น
thanks,ขอบคุณ
won't,จะไม่
trying,การพยายาม
kind,ใจดี
wrong,ผิด
through,ผ่าน
talking,การพูด
made,ทำ
new,ใหม่
being,สิ่งมีชีวิต
guess,เดา
hi,สวัสดี
care,การดูแล
bad,แย่
mom,แม่
remember,จดจำ
getting,ได้รับ
we'll,ดี
together,ด้วยกัน
dad,พ่อ
leave,ออกจาก
mother,แม่
place,สถานที่
understand,เข้าใจ
wouldn't,จะไม่
actually,จริงๆ แล้ว
hear,ได้ยิน
baby,ที่รัก
nice,ดี
father,พ่อ
else,อื่น
stay,อยู่
done,เสร็จแล้ว
wasn't,ไม่
their,ของพวกเขา
course,คอร์ส
might,อาจ
mind,จิตใจ
every,ทั้งหมด
enough,เพียงพอ
try,พยายาม
hell,นรก
came,มา
someone,บางคน
you'll,คุณ
own,เป็นเจ้าของ
family,ตระกูล
whole,ทั้งหมด
another,อื่น
house or House,บ้านหรือบ้าน
Jack or jack,แจ็คหรือแจ็ค
yourself,ตัวคุณเอง
idea,ความคิด
ask,ถาม
best,ดีที่สุด
must,ต้อง
coming,มา
old,เก่า
looking,มอง
woman,ผู้หญิง
hello,สวัสดี
which,ที่
years,ปี
room,ห้อง
money,เงิน
left,ซ้าย
knew,รู้ดี
tonight,คืนนี้
real,จริง
son,ลูกชาย
hope,หวัง
name,ชื่อ
same,เดียวกัน
went,ไป
um,อืม
hmm,อืม
happy,มีความสุข
pretty,สวย
saw,เลื่อย
girl,สาว
sir,ท่าน
show,แสดง
friend,เพื่อน
already,เรียบร้อยแล้ว
saying,คำพูด
may or May,อาจหรืออาจ
next,ต่อไป
three,สาม
job,งาน
problem,ปัญหา
minute,นาที
found,พบ
world,โลก
thinking,ความคิด
haven't,ไม่ได้
heard,ได้ยิน
honey,น้ำผึ้ง
matter,วัตถุ
myself,ตัวฉันเอง
couldn't,ไม่สามารถ
exactly,อย่างแน่นอน
having,มี
ah,อา
probably,อาจจะ
happen,เกิดขึ้น
we've,เราได้
hurt,เจ็บ
boy,เด็กผู้ชาย
both,ทั้งคู่
while,ในขณะที่
dead,ตาย
gotta,ต้อง
alone,ตามลำพัง
since,เนื่องจาก
excuse,ขอโทษ
start,เริ่ม
kill,ฆ่า
hard,แข็ง
you'd,คุณต้องการ
today,วันนี้
car,รถ
ready,พร้อม
until,จนกระทั่ง
without,ปราศจาก
whatever,อะไรก็ตาม
wants,ความต้องการ
hold,ถือ
wanna,อยาก
yet,ยัง
seen,เห็น
deal,ข้อเสนอ
took,เอามา
once,ครั้งหนึ่ง
gone,ไปแล้ว
called,เรียกว่า
morning,เช้า
supposed,ที่ควร
friends,เพื่อน
head,ศีรษะ
stuff,สิ่งของ
most,ที่สุด
used,ใช้แล้ว
worry,กังวล
second,ที่สอง
part,ส่วนหนึ่ง
live,สด
truth,ความจริง
school,โรงเรียน
face,ใบหน้า
forget,ลืม
TRUE,จริง
business,ธุรกิจ
each,แต่ละ
cause,สาเหตุ
soon,เร็วๆ นี้
knows,รู้ดี
few,น้อย
telling,บอกเล่า
wife,ภรรยา
who's,ใคร
use,ใช้
chance,โอกาส
run,วิ่ง
move,เคลื่อนไหว
anyone,ใครก็ได้
person,บุคคล
bye,ลาก่อน
J .,J.
somebody,ใครบางคน
Dr . or dr .,ดร. หรือดร.
heart,หัวใจ
such,เช่น
miss,นางสาว
married,แต่งงานแล้ว
point,จุด
later,ภายหลัง
making,การทำ
meet,พบปะ
anyway,ถึงอย่างไร
many,มากมาย
phone,โทรศัพท์
reason,เหตุผล
damn,สาปแช่ง
lost,สูญหาย
looks,รูปลักษณ์
bring,นำมา
case,กรณี
turn,เปลี่ยน
wish,ปรารถนา
tomorrow,พรุ่งนี้
kids,เด็ก
trust,เชื่อมั่น
check,ตรวจสอบ
change,เปลี่ยน
end,จบ
late,ช้า
anymore,อีกต่อไป
five,ห้า
least,น้อยที่สุด
town,เมือง
aren't,ไม่
ha,ฮา
working,การทำงาน
year,ปี
makes,ทำให้
taking,การเอาไป
means,วิธี
brother,พี่ชาย
play,เล่น
hate,เกลียด
ago,ที่ผ่านมา
says,บอกว่า
beautiful,สวย
gave,ให้
fact,ข้อเท็จจริง
crazy,คลั่งไคล้
party,งานสังสรรค์
sit,นั่ง
open,เปิด
afraid,เกรงกลัว
between,ระหว่าง
important,สำคัญ
rest,พักผ่อน
fun,สนุก
kid,เด็ก
word,คำ
watch,ดู
glad,ยินดี
everyone,ทุกคน
days,วัน
sister,น้องสาว
minutes,นาที
everybody,ทุกคน
bit,นิดหน่อย
couple,คู่
whoa,โว้ว
either,ทั้ง
Mrs .,นาง .
feeling,ความรู้สึก
daughter,ลูกสาว
wow,ว้าว
gets,ได้รับ
asked,ถาม
under,ภายใต้
break,หยุดพัก
promise,สัญญา
door,ประตู
set,ชุด
close,ปิด
hand,มือ
easy,ง่าย
question,คำถาม
doctor,หมอ
tried,พยายาม
far,ไกล
walk,เดิน
needs,ความต้องการ
trouble,ปัญหา
mine,ของฉัน
though,แม้ว่า
times,เวลา
different,แตกต่าง
killed,ถูกสังหาร
hospital,โรงพยาบาล
anybody,ใคร ๆ
Sam or SAM,แซมหรือแซม
alright,ใช้ได้
wedding,งานแต่งงาน
shut,ปิด
able,สามารถ
die,ตาย
perfect,สมบูรณ์แบบ
police,ตำรวจ
stand,ยืน
comes,มา
hit,ตี
story,เรื่องราว
ya,ย่า
mm,มม.
waiting,ซึ่งรอคอย
dinner,อาหารเย็น
against,ขัดต่อ
funny,ตลก
husband,สามี
almost,เกือบ
stupid,โง่
pay,จ่าย
answer,คำตอบ
four,สี่
office,สำนักงาน
cool,เย็น
eyes,ตา
news,ข่าว
child,เด็ก
shouldn't,ไม่ควร
half,ครึ่ง
side,ด้านข้าง
yours,ของคุณ
moment,ช่วงเวลา
sleep,นอน
read,อ่าน
where's,ที่ไหน
started,เริ่ม
young,หนุ่มสาว
men,คน
sounds,เสียง
sonny or Sonny,ซันนี่หรือซันนี่
lucky,โชคดี
pick,เลือก
sometimes,บางครั้ง
em,em
bed,เตียง
also,อีกด้วย
date,วันที่
line,เส้น
plan,วางแผน
hours,ชั่วโมง
lose,สูญเสีย
fire,ไฟ
free,ฟรี
hands,มือ
serious,จริงจัง
Leo,สิงห์
shit,อึ
behind,ด้านหลัง
inside,ข้างใน
high,สูง
ahead,ข้างหน้า
week,สัปดาห์
wonderful,มหัศจรรย์
T .,t.
fight,ต่อสู้
past,อดีต
cut,ตัด
quite,ค่อนข้าง
number,ตัวเลข
he'll,นรก
sick,ป่วย
S .,s.
it'll,มันจะ
game,เกม
eat,กิน
nobody,ไม่มีใคร
goes,ไป
death,ความตาย
along,ตาม
save,บันทึก
seems,ดูเหมือน
finally,ในที่สุด
lives,ชีวิต
worried,กังวล
upset,อารมณ์เสีย
Theresa,เทเรซ่า
Carly,คนขี้เกียจ
Ethan,อีธาน
met,พบกัน
book,หนังสือ
brought,นำมา
seem,ดูเหมือน
sort,เรียงลำดับ
safe,ปลอดภัย
living,การดำรงชีวิต
children,เด็ก
weren't,ไม่ได้
leaving,การทิ้ง
front,ด้านหน้า
shot,การยิง
loved,รัก
asking,การขอ
running,วิ่ง
clear,ชัดเจน
figure,รูป
hot,ร้อน
felt,รู้สึก
six,หก
parents,ผู้ปกครอง
drink,ดื่ม
absolutely,อย่างแน่นอน
how's,เป็นอย่างไร
daddy,พ่อ
sweet,หวาน
alive,มีชีวิตอยู่
Paul,เปาโล
sense,ความรู้สึก
meant,หมายถึง
happens,เกิดขึ้น
David,เดวิด
special,พิเศษ
bet,เดิมพัน
blood,เลือด
ain't,ไม่ใช่
kidding,ล้อเล่น
lie,โกหก
full,เต็ม
meeting,การประชุม
dear,ที่รัก
coffee,กาแฟ
seeing,เห็น
sound,เสียง
fault,ความผิดพลาด
water,น้ำ
fuck,มีเพศสัมพันธ์
ten,สิบ
women,ผู้หญิง
John or john,จอห์นหรือจอห์น
welcome,ยินดีต้อนรับ
buy,ซื้อ
months,เดือน
hour,ชั่วโมง
speak,พูด
lady,ผู้หญิง
Jen,เจน
thinks,คิด
Christmas,คริสต์มาส
body,ร่างกาย
order,คำสั่ง
outside,ข้างนอก
hang,แขวน
possible,เป็นไปได้
worse,แย่ลง
company,บริษัท
mistake,ความผิดพลาด
ooh,Ooh
handle,รับมือ
spend,ใช้จ่าย
C .,ค .
totally,โดยสิ้นเชิง
giving,การให้
control,ควบคุม
here's,นี่คือ
marriage,การแต่งงาน
realize,ตระหนัก
D .,d.
power,พลัง
president,ประธาน
unless,เว้นเสียแต่ว่า
sex,เพศ
girls,สาว ๆ
send,ส่ง
needed,ที่ต้องการ
O . or o,o. หรือ o
taken,ถ่าย
died,เสียชีวิต
scared,กลัว
picture,รูปภาพ
talked,ที่ได้พูดคุย
Jake,เจค
Al,อัล
ass,ตูด
hundred,ร้อย
changed,เปลี่ยน
completely,อย่างสมบูรณ์
explain,อธิบาย
playing,การเล่น
certainly,แน่นอน
sign,เข้าสู่ระบบ
boys,เด็กชาย
relationship,ความสัมพันธ์
Michael,ไมเคิล
loves,รัก
fucking,ร่วมเพศ
hair,ผม
lying,โกหก
choice,ทางเลือก
anywhere,ทุกที่
secret,ความลับ
future,อนาคต
weird,แปลก
luck,โชค
she'll,เปลือก
Max or max .,สูงสุดหรือสูงสุด
Luis,หลุยส์
turned,หัน
known,เป็นที่รู้จัก
touch,สัมผัส
kiss,จูบ
Crane or crane,เครนหรือเครน
questions,คำถาม
obviously,อย่างชัดเจน
wonder,สิ่งมหัศจรรย์
pain,ความเจ็บปวด
calling,การโทร
somewhere,ที่ไหนสักแห่ง
throw,โยน
straight,ตรง
Grace or grace,พระคุณหรือพระคุณ
cold,เย็น
white or White,ขาวหรือขาว
fast,เร็ว
Natalie,นาตาลี
words,คำ
R .,R.
food,อาหาร
none,ไม่มี
drive,ขับ
feelings,ความรู้สึก
they'll,พวกเขาจะ
worked,ทำงาน
marry,แต่งงาน
light,แสงสว่าง
test,ทดสอบ
drop,หยด
cannot,ไม่ได้
Frank,ตรงไปตรงมา
sent,ส่งแล้ว
city,เมือง
dream,ฝัน
protect,ปกป้อง
twenty,ยี่สิบ
class,ระดับ
Lucy,ลูซี่
surprise,เซอร์ไพรส์
its,ของมัน
sweetheart,หวานใจ
forever,ตลอดไป
poor,ยากจน
looked,มองดู
mad,โกรธ
except,ยกเว้น
gun,ปืน
y'know,คุณรู้
dance,เต้นรำ
takes,ใช้เวลา
appreciate,ชื่นชม
especially,โดยเฉพาะ
situation,สถานการณ์
besides,นอกจาก
weeks,หลายสัปดาห์
pull,ดึง
himself,ตัวเขาเอง
hasn't,ไม่ได้
act,กระทำ
worth,คุณค่า
Sheridan,เชอริแดน
amazing,อัศจรรย์
top,สูงสุด
given,ที่ให้ไว้
expect,คาดหวัง
Ben,เบ็น
rather,ค่อนข้าง
Julian,จูเลียน
involved,ที่เกี่ยวข้อง
swear,สาบาน
piece,ชิ้นส่วน
busy,ยุ่ง
law,กฎ
decided,ตัดสินใจแล้ว
black or Black,ดำหรือดำ
Joey,โจอี้
happening,การเกิดขึ้น
movie,ภาพยนตร์
we'd,พุธ
catch,จับ
Antonio,อันโตนิโอ
country,ประเทศ
less,น้อย
perhaps,บางที
step,ขั้นตอน
fall,ตก
watching,การรับชม
kept,เก็บไว้
darling,ที่รัก
dog,สุนัข
Ms .,นางสาว .
win,ชนะ
air,อากาศ
honor,ให้เกียรติ
personal,ส่วนตัว
moving,การเคลื่อนไหว
till,จนถึง
admit,ยอมรับ
problems,ปัญหา
murder,การฆาตกรรม
strong,แข็งแกร่ง
he'd,เขา
evil,ความชั่วร้าย
definitely,อย่างแน่นอน
feels,ความรู้สึก
information,ข้อมูล
honest,ซื่อสัตย์
eye,ดวงตา
broke,แตกหัก
missed,ไม่ได้ผล
longer,อีกต่อไป
dollars,เงินดอลลาร์
tired,เหนื่อย
Jason,เจสัน
George,จอร์จ
evening,ตอนเย็น
human,มนุษย์
starting,ที่เริ่มต้น
Ross,รอส
red,สีแดง
entire,ทั้งหมด
trip,การเดินทาง
Brooke,บรู๊ค
E .,ก.
club,คลับ
Niles,ไนล์
suppose,สมมติ
calm,เงียบสงบ
imagine,จินตนาการ
Todd,ทอดด์
fair,ยุติธรรม
caught,จับได้
B .,ข.
blame,ตำหนิ
street,ถนน
sitting,การนั่ง
favor,ความโปรดปราน
apartment,อพาร์ทเม้น
court,ศาล
terrible,ย่ำแย่
clean,ทำความสะอาด
Tony or tony,โทนี่หรือโทนี่
learn,เรียนรู้
Alison,อลิสัน
Rick,ริก
works,ผลงาน
Rose or rose,กุหลาบหรือดอกกุหลาบ
Frasier,เครื่องราง
relax,ผ่อนคลาย
York,ยอร์ค
million,ล้าน
charity,การกุศล
accident,อุบัติเหตุ
wake,ตื่น
prove,พิสูจน์
Danny,แดนนี่
smart,ปราดเปรื่อง
message,ข้อความ
missing,หายไป
forgot,ลืม
small,เล็ก
interested,สนใจ
table,โต๊ะ
nbsp,nbsp
become,กลายเป็น
Craig,เครก
mouth,ปาก
pregnant,ตั้งครรภ์
middle,กลาง
Billy or billy,บิลลี่หรือบิลลี่
ring,แหวน
careful,ระมัดระวัง
shall,จะ
dude,เพื่อน
team,ทีม
ride,ขี่
figured,ที่คิด
wear,สวมใส่
shoot,ยิง
stick,ติด
Ray or ray,เรย์หรือเรย์
follow,ติดตาม
Bo,บ่อ
angry,โกรธ
instead,แทน
buddy,เพื่อน
write,เขียน
stopped,หยุด
early,แต่แรก
Angel or angel,นางฟ้าหรือนางฟ้า
Nick or nick,นิคหรือนิค
ran,วิ่ง
war,สงคราม
standing,ยืน
forgive,ให้อภัย
jail,คุก
wearing,น่าเหนื่อยหน่าย
Miguel,มิเกล
ladies,ผู้หญิง
kinda,เล็กน้อย
lunch,อาหารกลางวัน
Cristian,ชาวคริสเตีย
eight,แปด
Greenlee,สีเขียว
gotten,ได้รับ
hoping,ความหวัง
Phoebe,ฟาบี
thousand,พัน
ridge,สันเขา
music,ดนตรี
Luke,ลุค
paper,กระดาษ
tough,ยาก
tape,เทป
Emily,เอมิลี่
state,สถานะ
count,นับ
college,วิทยาลัย
boyfriend,แฟน
proud,ภูมิใจ
agree,เห็นด้วย
birthday,วันเกิด
bill,ใบแจ้งหนี้
seven,เจ็ด
they've,พวกเขาได้
Timmy,ทิมมี
history,ประวัติศาสตร์
share,แบ่งปัน
offer,เสนอ
hurry,รีบ
ow,โอ๊ย
feet,เท้า
wondering,ที่สงสัย
simple,เรียบง่าย
decision,การตัดสินใจ
building,อาคาร
ones,คน
finish,เสร็จ
voice,เสียง
herself,ตัวเอง
Chris,คริส
would've,จะได้
list,รายการ
Kay,เคย์
mess,ความยุ่งเหยิง
deserve,สมควรได้รับ
evidence,หลักฐาน
cute,น่ารัก
Jerry,เจอร์รี่
dress,ชุด
Richard,ริชาร์ด
interesting,น่าสนใจ
Jesus,พระเยซู
James,เจมส์
hotel,โรงแรม
enjoy,สนุก
Ryan,ไรอัน
Lindsay,ลินด์เซย์
quiet,เงียบ
concerned,น่ากังวล
road,ถนน
Eve or eve,อีฟหรืออีฟ
staying,การอยู่
short,สั้น
M .,ม.
beat,ตี
sweetie,ที่รัก
mention,กล่าวถึง
clothes,เสื้อผ้า
finished,ที่เสร็จเรียบร้อย
fell,ล้ม
neither,ไม่ใช่ทั้งสองอย่าง
mmm,อืมมม
fix,แก้ไข
Victor or victor,ผู้ชนะหรือผู้ชนะ
respect,เคารพ
spent,ค่าใช้จ่าย
prison,คุก
attention,ความสนใจ
holding,การยึดครอง
calls,การโทร
near,ใกล้
surprised,น่าประหลาดใจ
bar,บาร์
Beth,เบ ธ
pass,ผ่าน
keeping,การเก็บรักษา
gift,ของขวัญ
hadn't,ไม่ได้
putting,การใส่
dark,มืด
self,ตัวเอง
owe,เป็นหนี้
using,โดยใช้
Nora,นอร่า
ice,น้ำแข็ง
helping,การช่วยเหลือ
bitch,ผู้หญิงเลว
normal,ปกติ
aunt,ป้า
lawyer,ทนายความ
apart,ห่างกัน
certain,แน่ใจ
plans,แผน
Jax,คนขี้ขลาด
girlfriend,แฟน
floor,พื้น
whether,ไม่ว่า
everything 's,ทุกสิ่ง
present,ปัจจุบัน
earth,โลก
private,ส่วนตัว
Jessica,เจสสิก้า
box,กล่อง
Dawson,ดอว์สัน
cover,ปิดบัง
judge,ผู้พิพากษา
upstairs,ชั้นบน
Alexis,อเล็กซิส
Shawn,ชอว์น
sake,เหล้าสาเก
mommy,แม่
possibly,อาจจะ
worst,แย่ที่สุด